id_no,zip_code,population,poverty_rate,median_household_inc,income_ratio,unemp_rate,no_health_ins,snap,no_hs_diploma,vacancy_rate,owner_occupancy,no_vehicle,distress_score,distress_rank,exclude,population_score
40669,77380,31369,8.20,88562.00,1.15,4.10,9.30,4.00,3.10,8.00,36.40,4.60,32.86,56,2,16.31
40670,77381,36139,4.70,143565.00,1.86,4.70,7.30,4.30,2.40,3.80,78.60,5.80,19.15,13,2,19.98
40671,77382,38986,5.10,162384.00,2.10,5.50,4.20,0.20,1.80,4.10,82.40,2.20,12.77,5,2,22.17
40672,77384,26781,4.30,91667.00,1.19,4.50,9.00,3.10,1.80,8.00,51.60,5.30,28.20,42,2,12.78
40673,77385,28156,6.40,117118.00,1.52,4.80,10.50,4.70,9.10,5.80,75.30,1.50,24.06,31,2,13.84
40674,77386,69980,6.70,132469.00,1.72,3.60,8.10,2.00,4.50,4.50,80.30,1.00,17.28,8,2,46.01
40675,77388,53425,8.20,102323.00,1.33,5.30,14.00,6.80,8.30,5.00,67.20,2.10,30.00,46,2,33.28
40676,77389,45701,8.40,140683.00,1.82,5.00,11.30,5.40,6.30,3.80,75.20,1.30,21.93,27,2,27.34
40677,77396,61735,14.60,78169.00,1.01,7.10,22.50,12.90,15.90,4.60,66.90,5.10,47.42,104,2,39.67
40678,77401,17213,2.40,243750.00,3.16,3.70,2.40,1.90,1.10,8.40,87.90,2.50,0.00,1,2,5.42
40679,77406,69918,6.00,141869.00,1.84,4.00,7.60,3.80,4.80,4.20,85.60,3.60,17.81,11,2,45.97
40680,77407,88319,9.10,98913.00,1.28,5.60,12.90,9.00,9.80,2.90,72.50,4.80,33.05,57,2,60.12
40681,77417,3920,18.10,75405.00,0.98,9.60,25.20,21.30,29.20,3.60,74.90,3.80,,,1,
40682,77418,10171,6.60,90611.00,1.17,2.40,11.20,5.80,8.30,11.20,73.10,2.40,26.92,35,2,0.01
40683,77422,14547,10.10,76829.00,1.00,3.60,14.20,8.50,16.60,20.90,84.80,4.10,37.58,70,2,3.37
40684,77423,18767,14.60,84490.00,1.09,3.50,19.60,11.20,17.30,8.90,79.40,1.60,38.95,74,2,6.62
40685,77426,2007,14.90,80446.00,1.04,7.70,13.00,10.10,19.80,12.80,69.50,8.10,,,1,
40686,77428,151,,,,,,,,,,,,,0,
40687,77429,96334,5.50,119191.00,1.54,5.50,8.20,4.10,6.40,3.20,81.20,1.10,20.72,21,2,66.29
40688,77430,1664,12.20,85364.00,1.11,11.10,10.90,4.60,21.30,8.80,85.20,1.30,,,1,
40689,77433,116550,7.00,143934.00,1.86,5.70,10.20,5.20,6.00,2.50,81.50,2.70,20.91,24,2,81.84
40690,77435,4812,6.50,68778.00,0.89,4.30,14.50,7.70,11.00,3.40,86.20,5.50,,,1,
40691,77441,41324,3.00,184390.00,2.39,2.80,2.60,3.50,2.00,2.40,92.00,0.80,4.23,2,2,23.97
40692,77444,911,,,,,,,,,,,,,0,
40693,77445,16142,15.60,65909.00,0.85,5.60,24.70,17.00,19.50,12.00,64.30,4.80,52.15,115,2,4.60
40694,77446,5780,44.20,20766.00,0.27,24.30,22.10,28.60,17.60,14.50,17.00,0.00,,,1,
40695,77447,25231,6.40,116925.00,1.51,7.20,14.00,6.20,8.60,8.90,86.00,2.90,27.78,39,2,11.59
40696,77449,130028,12.70,87808.00,1.14,6.90,21.10,12.50,14.80,3.20,68.30,3.30,42.25,85,2,92.21
40697,77450,71906,7.70,106402.00,1.38,5.70,12.20,3.40,5.40,4.20,68.80,1.90,26.78,34,2,47.50
40698,77451,515,37.10,31125.00,0.40,3.60,34.60,18.00,15.50,21.50,63.40,7.10,,,1,
40699,77454,178,,,,,,,,,,,,,0,
40700,77459,84221,5.90,129151.00,1.67,4.90,8.70,5.60,4.80,4.10,85.20,2.10,19.68,15,2,56.97
40701,77461,12365,14.60,93446.00,1.21,6.00,27.10,4.90,19.00,6.00,79.70,4.10,42.91,87,2,1.69
40702,77464,407,5.70,64375.00,0.83,0.00,14.30,8.50,20.10,3.50,63.00,0.00,,,1,
40703,77466,220,44.50,46750.00,0.61,3.80,2.70,2.40,24.60,30.30,75.90,0.00,,,1,
40704,77469,69826,7.70,102125.00,1.32,4.50,15.90,8.70,9.90,4.30,79.40,2.50,29.15,45,2,45.90
40705,77471,45325,18.20,73186.00,0.95,6.30,19.30,15.60,13.30,6.60,58.30,5.80,50.39,113,2,27.05
