id_no,zip_code,population,poverty_rate,median_household_inc,income_ratio,unemp_rate,no_health_ins,snap,no_hs_diploma,vacancy_rate,owner_occupancy,no_vehicle,distress_score,rank,exclude
9475,77092,36185,20.30,56741.00,0.75,5.70,33.80,12.10,25.00,9.70,42.00,6.70,62.34,142,2
9476,77093,46091,32.70,41958.00,0.56,5.70,37.40,25.90,49.10,9.00,56.80,8.40,82.99,178,2
9477,77094,10718,7.20,160350.00,2.13,6.90,6.20,3.60,1.50,3.60,79.50,1.90,17.59,10,2
9478,77095,69912,5.80,95657.00,1.27,6.90,10.90,8.00,7.50,3.70,70.70,1.20,29.04,43,2
9479,77096,33991,14.10,84395.00,1.12,4.20,14.90,13.30,9.30,12.80,47.40,8.30,44.50,94,2
9480,77098,16318,9.30,115867.00,1.54,4.40,8.80,1.80,1.30,11.00,33.40,7.30,31.65,55,2
9481,77099,49271,25.90,48735.00,0.65,10.20,35.50,22.50,28.80,8.00,37.20,11.20,80.00,175,2
9482,77301,36835,17.20,64885.00,0.86,3.20,25.50,12.90,24.60,6.10,56.30,5.80,51.28,118,2
9483,77302,19787,13.40,81886.00,1.09,3.20,20.00,13.30,8.40,4.30,83.40,3.00,34.97,63,2
9484,77303,26324,17.40,72827.00,0.97,8.70,22.20,15.80,15.60,7.40,73.10,0.90,48.74,111,2
9485,77304,42277,8.10,78574.00,1.04,2.70,15.60,5.10,6.90,4.00,57.70,4.30,31.58,53,2
9486,77306,17695,16.60,76411.00,1.02,2.20,38.40,16.40,37.90,7.60,80.60,0.20,50.73,115,2
9487,77316,31917,7.40,129418.00,1.72,5.40,9.40,5.60,3.90,6.40,88.90,1.80,20.77,23,2
9488,77318,19820,7.50,90246.00,1.20,3.70,7.50,8.20,9.40,12.70,81.70,2.10,27.02,36,2
9489,77320,37458,13.90,51765.00,0.69,6.40,15.90,14.20,18.70,17.60,66.00,6.00,50.78,116,2
9490,77327,37574,21.10,57538.00,0.76,5.50,32.60,19.00,25.00,15.10,81.60,4.00,57.99,135,2
9491,77328,17816,24.80,57725.00,0.77,6.80,30.30,13.00,24.00,12.60,77.80,2.00,57.72,134,2
9492,77334,211,,,,,,,,,,,,,0
9493,77336,12510,16.30,83267.00,1.11,6.10,13.60,10.00,12.80,15.40,78.50,3.60,41.11,84,2
9494,77338,47335,17.00,68808.00,0.91,5.40,22.20,16.30,12.70,5.30,51.20,5.60,50.02,113,2
9495,77339,43364,8.80,84015.00,1.12,6.20,9.30,7.10,4.50,7.80,57.90,7.30,36.07,66,2
9496,77340,35439,22.80,46878.00,0.62,9.00,14.10,8.70,11.10,14.20,47.50,5.90,57.00,130,2
9497,77341,0,,,,,,,,,,,,,0
9498,77342,0,,,,,,,,,,,,,0
9499,77345,27574,3.60,156844.00,2.09,4.40,3.80,1.70,3.10,4.10,85.70,2.00,11.47,5,2
9500,77346,75577,7.10,116658.00,1.55,5.40,7.70,5.20,6.20,3.40,82.70,1.70,22.35,29,2
9501,77354,40501,7.50,112093.00,1.49,3.60,11.50,3.40,7.00,11.30,79.50,1.60,23.34,32,2
9502,77355,31727,7.60,101270.00,1.35,5.80,13.30,5.70,11.10,3.90,82.50,1.90,28.40,40,2
9503,77356,31069,7.10,113750.00,1.51,1.30,8.20,4.50,4.60,14.00,82.40,4.80,21.02,25,2
9504,77357,34770,15.10,73773.00,0.98,4.00,28.90,15.40,19.70,12.00,75.60,2.40,46.29,103,2
9505,77358,5565,10.60,79018.00,1.05,3.60,11.30,9.20,9.40,18.10,75.80,12.90,,,1
9506,77362,7474,13.30,80982.00,1.08,4.30,22.20,13.00,6.80,4.80,87.90,11.40,,,1
9507,77363,3246,10.00,78667.00,1.05,10.40,13.40,15.60,22.30,12.90,86.50,1.10,,,1
9508,77365,43025,10.60,96093.00,1.28,5.90,20.00,10.80,17.90,5.90,80.90,1.00,36.32,67,2
9509,77367,634,7.40,73923.00,1.01,6.30,14.20,4.70,11.00,19.90,57.00,0.00,,,1
9510,77372,14088,11.50,78601.00,1.04,6.20,23.30,11.00,20.00,8.60,83.80,0.60,40.58,81,2
9511,77373,68273,8.30,86693.00,1.15,5.80,16.60,11.60,11.80,4.20,73.10,1.30,34.13,62,2
9512,77375,71198,11.00,95813.00,1.27,2.80,9.10,7.60,7.60,4.10,70.60,3.30,28.17,38,2
9513,77377,39154,5.00,123015.00,1.64,4.50,7.40,2.80,7.00,5.80,82.60,1.10,18.76,14,2
9514,77378,17576,14.40,68595.00,0.91,6.90,23.90,11.90,19.00,3.90,71.50,2.50,46.55,105,2
9515,77379,83163,8.10,110712.00,1.47,6.00,9.00,6.10,4.80,4.30,75.40,3.20,26.62,35,2
9516,77380,31151,6.40,84468.00,1.12,4.60,10.60,3.80,3.30,7.80,33.50,3.80,32.44,58,2
9517,77381,35184,5.50,142210.00,1.89,4.10,5.40,4.40,2.80,4.00,78.10,6.80,19.30,16,2
9518,77382,40170,4.00,169669.00,2.26,6.70,5.80,0.30,1.50,3.00,81.60,2.80,13.65,7,2
9519,77384,24148,3.00,103745.00,1.38,3.90,8.20,2.30,1.80,9.70,53.30,3.10,23.14,31,2
9520,77385,26889,6.50,112798.00,1.50,5.20,8.80,5.40,7.80,6.60,76.60,0.90,23.75,33,2
9521,77386,69549,7.10,130094.00,1.73,3.80,8.60,3.10,4.90,4.40,81.20,0.20,17.55,9,2
9522,77388,52910,7.60,101588.00,1.35,6.40,16.30,7.00,8.30,4.30,68.30,2.00,31.41,52,2
9523,77389,44545,8.60,145228.00,1.93,5.10,12.50,4.30,5.20,3.50,78.50,1.10,20.76,22,2
9524,77396,58893,13.30,76506.00,1.02,7.00,23.70,12.20,16.80,4.90,67.20,2.40,45.11,95,2
9525,77401,17125,2.60,236037.00,3.14,3.00,1.90,2.10,1.50,7.60,87.90,2.30,0.00,1,2
9526,77406,65716,5.60,143023.00,1.90,3.40,9.80,4.10,4.90,4.40,87.30,3.30,16.80,8,2
9527,77407,81459,6.80,101595.00,1.35,5.10,13.20,7.10,8.80,2.30,77.80,4.80,29.10,44,2
9528,77417,3232,20.90,60809.00,0.81,7.10,27.60,25.20,27.80,5.80,67.80,3.10,,,1
9529,77418,10467,13.70,80000.00,1.06,2.10,14.80,8.40,11.10,9.10,73.60,2.60,33.58,60,2
9530,77422,14548,10.30,75223.00,1.00,5.70,15.30,9.20,15.50,18.90,83.20,5.60,40.38,79,2
